,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
223,Lagos,NG,25.18,light rain,6.5833,3.75,
224,Afonso Claudio,BR,20.81,scattered clouds,-20.0742,-41.1239,Pousada Afonso Cláudio
225,Torbay,CA,11.82,clear sky,47.6666,-52.7314,Gallows Cove
226,Caxito,AO,23.99,broken clouds,-8.5785,13.6643,
227,Srikakulam,IN,25.84,overcast clouds,18.3,83.9,Micro Systems
229,Coquimbo,CL,12.83,few clouds,-29.9533,-71.3436,Hotel San Juan
230,Manggar,ID,26.98,broken clouds,-2.8833,108.2667,Guest Hotel
231,Waipawa,NZ,4.3,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
232,The Valley,AI,27.83,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
233,San Carlos De Bariloche,AR,5.57,overcast clouds,-41.1456,-71.3082,Hotel Patagonia
234,Gallup,US,16.91,clear sky,35.5281,-108.7426,Quality Inn & Suites Gallup I-40 Exit 20
235,Ekhabi,RU,2.42,overcast clouds,53.5102,142.9671,
236,Yuza,JP,14.18,overcast clouds,39.0,139.9167,Tsuruya
237,Vodnyy,RU,5.7,light rain,63.5046,53.4095,Каменка
238,Lasa,IT,9.09,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
239,Prado,BR,24.3,broken clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
240,Novichikha,RU,4.95,overcast clouds,52.204,81.3877,
241,Sekoma,BW,24.16,few clouds,-24.4,23.8833,
242,Kenai,US,13.35,light rain,60.5544,-151.2583,Aspen Extended Stay Suites
243,Vagamo,NO,4.21,scattered clouds,61.8751,9.0967,Vågå hotel
244,Yarada,IN,26.18,overcast clouds,17.65,83.2667,Yarada Jungle Beach Resorts
245,Savyntsi,UA,7.53,broken clouds,49.4026,37.0627,
246,Yumen,CN,4.93,clear sky,40.2833,97.2,
247,Broome,US,13.41,few clouds,42.2506,-75.833,Chenango Valley State Park
248,Mount Gambier,AU,14.95,overcast clouds,-37.8333,140.7667,The Commodore
249,Ponta Do Sol,PT,20.4,broken clouds,32.6667,-17.1,Hotel do Campo
250,Constitucion,CL,10.1,scattered clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
251,Maldonado,UY,15.13,broken clouds,-34.6667,-54.9167,La Cimarrona
252,Victoria,HK,30.1,broken clouds,22.2855,114.1577,Mini Central
253,Itarema,BR,25.88,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
254,Inyonga,TZ,19.02,overcast clouds,-6.7167,32.0667,Eden Rock Lodge
255,San Felipe,VE,23.08,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
256,Birin,NP,15.16,overcast clouds,26.8865,88.0718,Sangam Hospitality
257,Abu Dhabi,AE,31.01,few clouds,24.4667,54.3667,Beach Rotana
258,Ust-Tsilma,RU,6.55,overcast clouds,65.441,52.1498,U Praskov'i
259,Belmonte,BR,23.59,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
260,Severnyy,RU,8.02,clear sky,50.677,36.5532,Full House North Mini-Hotel
261,Ziniare,BF,25.55,broken clouds,12.5822,-1.2983,Privilège Busines Center Ziniaré
262,Byron Bay,AU,17.98,light rain,-28.65,153.6167,Backpackers Inn
263,San Quintin,MX,21.44,scattered clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
264,Belogorsk,RU,1.88,few clouds,50.9158,128.4611,Gostinitsa Vostok 2000
265,Geraldton,AU,14.23,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
266,San Cristobal,VE,20.06,overcast clouds,7.7669,-72.225,Pirineos
267,Emba,KZ,9.8,overcast clouds,48.8264,58.1442,
268,Charcas,MX,17.0,overcast clouds,23.1333,-101.1167,Hotel El Malacate
269,Svetlogorsk,BY,8.64,overcast clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
270,Cayenne,GF,26.02,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
271,Przhevalskoye,RU,8.4,overcast clouds,55.5093,31.8482,Next Camp
272,Isangel,VU,27.06,broken clouds,-19.55,169.2667,Tanna Lodge
273,Havre-Saint-Pierre,CA,9.89,broken clouds,50.2334,-63.5986,Auberge Niapiskau 2
274,Kieta,PG,28.63,light rain,-6.2167,155.6333,Uruna Bay Retreat
275,Cockburn Town,TC,28.6,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
277,Conde,BR,23.6,clear sky,-7.2597,-34.9075,Pousada Beija Flor
278,Airai,TL,20.19,overcast clouds,-8.9266,125.4092,
279,Poum,NC,23.87,broken clouds,-20.2333,164.0167,
280,Huarmey,PE,16.53,clear sky,-10.0681,-78.1522,Hotel Miramar
281,Half Moon Bay,US,30.88,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
282,Hamilton,US,18.91,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
283,Nhulunbuy,AU,31.34,few clouds,-12.2333,136.7667,East Arnhem Real Estate
284,Wewak,PG,27.89,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
286,Coahuayana,MX,27.48,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
287,Jieshou,CN,9.6,overcast clouds,33.2634,115.3611,Vatica Jieshou City New Passenger Transport Center Hotel
289,Jasper,US,26.04,broken clouds,37.2001,-94.3502,Guest House Motel
290,West Wendover,US,23.56,clear sky,40.7391,-114.0733,"Motel 6 Wendover, UT"
292,San Patricio,US,28.08,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
293,Talara,PE,18.42,clear sky,-4.5772,-81.2719,Hostal Oro Negro
294,Saint-Joseph,RE,19.21,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
