City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
132,Thompson,CA,55.7435,-97.8558,0.09,74,75,3.6,broken clouds
133,Pangkalanbuun,ID,-2.6833,111.6167,25.74,86,99,0.85,overcast clouds
134,Narsaq,GL,60.9167,-46.05,3.12,88,92,2.59,overcast clouds
135,Linhares,BR,-19.3911,-40.0722,22.8,89,51,2.08,broken clouds
136,Saskylakh,RU,71.9167,114.0833,-11.83,97,89,2.54,overcast clouds
137,Georgetown,MY,5.4112,100.3354,25.5,91,20,0.51,few clouds
138,Harbour Breton,CA,47.4833,-55.7983,11.27,75,43,1.28,scattered clouds
139,Zihuatanejo,MX,17.6333,-101.55,27.84,81,41,1.33,scattered clouds
140,Beringovskiy,RU,63.05,179.3167,8.33,87,98,12.85,overcast clouds
141,Nishiwaki,JP,34.9833,134.9667,16.75,69,100,4.74,overcast clouds
142,Tahe,CN,52.3333,124.7333,0.38,42,33,2.88,scattered clouds
143,Tadine,NC,-21.55,167.8833,23.93,53,100,5.11,overcast clouds
144,Castro,BR,-24.7911,-50.0119,16.53,91,100,3.04,light rain
145,Hami,CN,42.8,93.45,10.29,34,0,3.25,clear sky
146,Altamont,US,42.2068,-121.7372,29.32,23,0,1.34,clear sky
147,General Roca,AR,-39.0333,-67.5833,18.58,23,23,8.23,few clouds
148,Kenora,CA,49.8167,-94.4337,13.21,66,91,1.34,overcast clouds
149,Coffs Harbour,AU,-30.3,153.1333,18.98,77,100,3.09,overcast clouds
150,Atessa,IT,42.0693,14.4511,16.4,74,99,1.79,overcast clouds
151,Balkhash,KZ,46.844,74.9804,7.16,45,0,6.32,clear sky
152,Ingham,US,42.6,-84.3833,17.66,64,0,0.0,clear sky
153,Takoradi,GH,4.8845,-1.7554,23.98,93,11,3.29,few clouds
154,Chuy,UY,-33.6971,-53.4616,14.59,86,95,4.73,overcast clouds
155,Haines Junction,CA,60.7522,-137.5108,10.9,81,100,1.77,overcast clouds
156,Alofi,NU,-19.0595,-169.9187,25.16,80,98,7.15,overcast clouds
157,Avarua,CK,-21.2078,-159.775,26.03,65,40,8.23,scattered clouds
158,Ballina,AU,-28.8667,153.5667,18.02,90,100,1.51,overcast clouds
159,Naze,JP,28.3667,129.4833,24.3,71,42,4.41,scattered clouds
160,Barguzin,RU,53.6167,109.6167,-3.76,74,13,1.11,few clouds
161,Rundu,NA,-17.9333,19.7667,23.18,18,1,4.2,clear sky
162,Bodden Town,KY,19.2833,-81.25,28.33,73,85,1.34,overcast clouds
163,Aquiraz,BR,-3.9014,-38.3911,26.77,84,13,6.65,few clouds
164,Espanola,US,35.9911,-106.0806,14.42,78,100,2.0,overcast clouds
165,Deputatskiy,RU,69.3,139.9,-11.24,91,100,3.04,overcast clouds
166,Pedasi,PA,7.5333,-80.0333,25.59,85,100,4.67,overcast clouds
167,Port Lincoln,AU,-34.7333,135.8667,17.37,65,1,3.54,clear sky
168,Honiara,SB,-9.4333,159.95,30.94,51,98,3.26,overcast clouds
169,Lempaala,FI,61.3167,23.75,13.21,94,100,4.63,overcast clouds
170,Gamba,GA,-2.65,10.0,24.01,89,89,3.05,overcast clouds
171,Port Alfred,ZA,-33.5906,26.891,17.21,87,98,5.48,overcast clouds
172,Nouadhibou,MR,20.931,-17.0347,26.91,52,34,8.48,scattered clouds
173,Kourou,GF,5.1552,-52.6478,27.03,84,12,4.06,few clouds
174,Portland,US,45.5234,-122.6762,25.55,63,20,2.06,few clouds
175,Kununurra,AU,-15.7667,128.7333,29.99,58,40,1.54,scattered clouds
176,Faanui,PF,-16.4833,-151.75,25.81,73,26,11.28,scattered clouds
177,Damghan,IR,36.1683,54.348,19.2,29,0,0.53,clear sky
178,Alcains,PT,39.9164,-7.4566,16.96,42,0,1.92,clear sky
179,Baruun-Urt,MN,46.6806,113.2792,-1.26,40,28,3.34,scattered clouds
180,Cidreira,BR,-30.1811,-50.2056,17.53,79,78,9.66,broken clouds
181,Loucovice,CZ,48.6202,14.2575,13.58,76,94,1.73,overcast clouds
182,Bima,ID,-8.4667,118.7167,28.42,74,83,2.13,broken clouds
183,Dargaville,NZ,-35.9333,173.8833,11.7,56,97,7.71,overcast clouds
184,Hirara,JP,24.8,125.2833,26.82,79,37,7.99,scattered clouds
185,Kyra,RU,49.5776,111.9753,-3.23,66,22,1.22,few clouds
186,Biak,ID,-0.9131,122.8766,27.05,73,100,0.38,light rain
187,Rio Grande,BR,-32.035,-52.0986,18.06,83,79,7.31,broken clouds
188,Bairiki,KI,1.3292,172.9752,27.78,69,83,5.9,broken clouds
189,Bredasdorp,ZA,-34.5322,20.0403,9.92,92,1,3.18,clear sky
190,Samarai,PG,-10.6167,150.6667,27.64,80,68,4.38,broken clouds
191,Mahebourg,MU,-20.4081,57.7,22.16,78,75,3.6,broken clouds
192,Pisco,PE,-13.7,-76.2167,17.03,72,0,5.66,clear sky
193,Port Elizabeth,ZA,-33.918,25.5701,15.17,85,40,4.63,scattered clouds
194,Carballo,ES,43.213,-8.691,17.09,90,100,4.62,overcast clouds
195,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,24.56,88,19,3.73,few clouds
196,Kloulklubed,PW,7.0419,134.2556,29.28,73,85,4.08,overcast clouds
197,Port Hedland,AU,-20.3167,118.5667,23.03,78,2,1.54,clear sky
198,Magadan,RU,59.5667,150.8,-2.48,56,97,2.25,overcast clouds
199,Mogadishu,SO,2.0371,45.3438,25.06,88,53,5.87,broken clouds
200,Benjamin Constant,BR,-4.3831,-70.0311,27.11,70,76,1.26,broken clouds
201,Stratford-Upon-Avon,GB,52.1917,-1.7073,10.68,83,0,6.09,clear sky
202,Casalpusterlengo,IT,45.1769,9.6491,16.96,89,49,1.48,scattered clouds
203,Barcelona,ES,41.3888,2.159,21.41,83,40,3.09,scattered clouds
204,Batemans Bay,AU,-35.7167,150.1833,14.5,96,100,5.73,light rain
205,Zhuanghe,CN,39.7008,122.9911,9.2,46,97,2.73,overcast clouds
206,Poya,NC,-21.35,165.15,25.55,49,89,2.75,overcast clouds
207,Namatanai,PG,-3.6667,152.4333,29.29,69,95,3.53,light rain
208,Okhotsk,RU,59.3833,143.3,-0.02,48,100,6.0,overcast clouds
209,Talnakh,RU,69.4865,88.3972,-4.08,96,95,1.23,overcast clouds
210,Sorland,NO,67.667,12.6934,8.92,86,100,9.73,light rain
211,Lavrentiya,RU,65.5833,-171.0,3.72,92,100,13.96,light rain
212,Vila Velha,BR,-20.3297,-40.2925,22.22,92,88,2.58,overcast clouds
213,Mezen,RU,65.8522,44.24,7.02,93,100,1.86,overcast clouds
214,Marrakesh,MA,31.6315,-8.0083,24.04,46,60,2.57,broken clouds
215,Pacific Grove,US,36.6177,-121.9166,26.88,86,75,3.58,broken clouds
216,Huilong,CN,31.8111,121.655,17.18,80,100,5.57,moderate rain
217,La Ciotat,FR,43.1748,5.6045,21.01,87,2,1.53,clear sky
218,Fairview,US,40.8126,-73.999,15.34,90,0,5.14,clear sky
219,Vasto,IT,42.1243,14.7059,18.16,63,100,1.27,overcast clouds
220,Henties Bay,NA,-22.116,14.2845,12.23,94,16,3.62,few clouds
221,Neepawa,CA,50.2289,-99.4664,5.96,62,90,9.1,overcast clouds
222,Bandarbeyla,SO,9.4942,50.8122,24.76,86,72,10.27,broken clouds
223,Lagos,NG,6.5833,3.75,25.18,92,60,1.78,light rain
224,Afonso Claudio,BR,-20.0742,-41.1239,20.81,95,40,1.76,scattered clouds
225,Torbay,CA,47.6666,-52.7314,11.82,83,0,6.69,clear sky
226,Caxito,AO,-8.5785,13.6643,23.99,81,72,1.73,broken clouds
227,Srikakulam,IN,18.3,83.9,25.84,89,100,2.85,overcast clouds
228,Pangnirtung,CA,66.1451,-65.7125,-0.57,94,100,1.59,light snow
229,Coquimbo,CL,-29.9533,-71.3436,12.83,88,15,3.36,few clouds
230,Manggar,ID,-2.8833,108.2667,26.98,81,77,2.08,broken clouds
231,Waipawa,NZ,-41.4122,175.5153,4.3,76,91,9.44,overcast clouds
232,The Valley,AI,18.217,-63.0578,27.83,74,38,8.81,scattered clouds
233,San Carlos De Bariloche,AR,-41.1456,-71.3082,5.57,86,93,5.5,overcast clouds
234,Gallup,US,35.5281,-108.7426,16.91,55,0,6.69,clear sky
235,Ekhabi,RU,53.5102,142.9671,2.42,66,90,9.13,overcast clouds
